timestamp,type,event_number,adc,elapsed_ms,dead_time_ms,temperature,pressure,detector_id
2026-09-05 11:57:52,C,695,438,3256276,3681,28.7,1021.8,56-614-135
2026-09-05 11:57:52,T,3900,69,3256795,2350,28.7,1021.8,56-614-135
2026-09-05 11:57:52,B,4613,520,3256899,5012,28.7,1021.8,56-614-135
2026-09-05 11:57:52,T,3901,506,3257003,2350,28.7,1021.8,56-614-135
2026-09-05 11:57:53,B,4614,338,3257690,5014,28.7,1021.8,56-614-135
2026-09-05 11:57:54,B,4615,124,3258470,5015,28.7,1021.8,56-614-135
2026-09-05 11:57:55,T,3902,466,3259181,2351,28.7,1021.8,56-614-135
2026-09-05 11:57:55,B,4616,997,3259977,5016,28.7,1021.8,56-614-135
2026-09-05 11:57:56,B,4617,293,3260782,5018,28.7,1021.8,56-614-135
2026-09-05 11:57:57,T,3903,401,3261113,2352,28.7,1021.9,56-614-135
2026-09-05 11:57:57,B,4618,494,3261113,5019,28.7,1021.9,56-614-135
2026-09-05 11:57:57,C,696,447,3261113,3685,28.7,1021.9,56-614-135
2026-09-05 11:57:58,T,3904,151,3262228,2353,28.7,1021.9,56-614-135
2026-09-05 11:57:58,B,4619,443,3262228,5022,28.7,1021.9,56-614-135
2026-09-05 11:57:58,C,697,297,3262228,3687,28.7,1021.9,56-614-135
2026-09-05 11:57:58,B,4620,148,3262624,5022,28.7,1021.9,56-614-135
2026-09-05 11:57:58,T,3905,540,3262723,2353,28.7,1021.9,56-614-135
2026-09-05 11:57:59,B,4621,51,3263291,5023,28.7,1021.9,56-614-135
2026-09-05 11:57:59,B,4622,256,3263582,5023,28.7,1021.9,56-614-135
2026-09-05 11:58:00,B,4623,465,3265017,5025,28.7,1021.9,56-614-135
2026-09-05 11:58:01,B,4624,500,3265195,5026,28.7,1021.9,56-614-135
2026-09-05 11:58:02,T,3906,92,3266185,2354,28.7,1021.9,56-614-135
2026-09-05 11:58:02,B,4625,226,3266191,5029,28.7,1021.9,56-614-135
2026-09-05 11:58:02,T,3907,345,3266191,2354,28.7,1021.9,56-614-135
2026-09-05 11:58:02,B,4626,241,3266247,5029,28.7,1021.9,56-614-135
2026-09-05 11:58:02,T,3908,56,3266796,2354,28.7,1021.9,56-614-135
2026-09-05 11:58:03,T,3909,101,3267693,2355,28.7,1021.9,56-614-135
2026-09-05 11:58:03,T,3910,64,3268129,2355,28.7,1021.9,56-614-135
2026-09-05 11:58:04,B,4627,607,3268522,5032,28.7,1021.9,56-614-135
2026-09-05 11:58:04,B,4628,586,3268907,5032,28.7,1021.9,56-614-135
2026-09-05 11:58:04,T,3911,310,3269165,2356,28.7,1021.9,56-614-135
2026-09-05 11:58:05,B,4629,54,3269510,5033,28.7,1021.9,56-614-135
2026-09-05 11:58:06,B,4630,54,3270441,5033,28.7,1021.9,56-614-135
2026-09-05 11:58:06,T,3912,79,3270675,2356,28.7,1021.9,56-614-135
2026-09-05 11:58:06,T,3913,73,3270727,2356,28.7,1021.9,56-614-135
2026-09-05 11:58:07,T,3914,80,3271413,2356,28.7,1021.9,56-614-135
2026-09-05 11:58:07,T,3915,73,3271974,2356,28.7,1021.9,56-614-135
2026-09-05 11:58:10,T,3916,170,3274810,2358,28.7,1021.9,56-614-135
2026-09-05 11:58:10,T,3917,379,3274926,2358,28.7,1021.9,56-614-135
2026-09-05 11:58:11,T,3918,108,3275952,2358,28.7,1021.9,56-614-135
2026-09-05 11:58:12,T,3919,559,3276457,2360,28.7,1021.9,56-614-135
2026-09-05 11:58:12,B,4631,508,3276675,5036,28.7,1021.9,56-614-135
2026-09-05 11:58:12,T,3920,454,3277043,2360,28.7,1021.9,56-614-135
2026-09-05 11:58:12,B,4632,222,3277043,5036,28.7,1021.9,56-614-135
2026-09-05 11:58:12,C,698,338,3277043,3698,28.7,1021.9,56-614-135
2026-09-05 11:58:13,T,3921,76,3277505,2360,28.7,1021.9,56-614-135
2026-09-05 11:58:13,B,4633,420,3277999,5037,28.7,1021.9,56-614-135
2026-09-05 11:58:14,T,3922,60,3278527,2361,28.7,1021.9,56-614-135
2026-09-05 11:58:14,B,4634,188,3278814,5038,28.7,1021.9,56-614-135
2026-09-05 11:58:14,T,3923,122,3278994,2361,28.7,1021.9,56-614-135
2026-09-05 11:58:15,T,3924,341,3280020,2362,28.7,1021.9,56-614-135
2026-09-05 11:58:16,B,4635,565,3280725,5042,28.7,1021.9,56-614-135
2026-09-05 11:58:16,B,4636,138,3280842,5042,28.7,1021.9,56-614-135
2026-09-05 11:58:16,B,4637,260,3280867,5042,28.7,1021.9,56-614-135
2026-09-05 11:58:17,B,4638,144,3281565,5044,28.7,1021.8,56-614-135
2026-09-05 11:58:17,T,3925,226,3281801,2364,28.7,1021.8,56-614-135
2026-09-05 11:58:17,B,4639,480,3281849,5044,28.7,1021.8,56-614-135
2026-09-05 11:58:17,T,3926,343,3282057,2364,28.7,1021.8,56-614-135
2026-09-05 11:58:17,T,3927,492,3282135,2364,28.7,1021.8,56-614-135
2026-09-05 11:58:18,B,4640,104,3282574,5049,28.7,1021.8,56-614-135
2026-09-05 11:58:18,T,3928,58,3282723,2365,28.7,1021.8,56-614-135
2026-09-05 11:58:18,B,4641,651,3282999,5049,28.7,1021.8,56-614-135
2026-09-05 11:58:18,T,3929,911,3283180,2365,28.7,1021.8,56-614-135
2026-09-05 11:58:18,B,4642,700,3283180,5049,28.7,1021.8,56-614-135
2026-09-05 11:58:18,C,699,805,3283180,3707,28.7,1021.8,56-614-135
2026-09-05 11:58:19,T,3930,237,3283404,2367,28.7,1021.8,56-614-135
2026-09-05 11:58:19,B,4643,220,3283952,5052,28.7,1021.8,56-614-135
2026-09-05 11:58:19,B,4644,706,3284021,5052,28.7,1021.8,56-614-135
2026-09-05 11:58:19,T,3931,536,3284183,2367,28.7,1021.8,56-614-135
2026-09-05 11:58:19,B,4645,174,3284248,5052,28.7,1021.8,56-614-135
2026-09-05 11:58:20,B,4646,55,3284516,5054,28.7,1021.8,56-614-135
2026-09-05 11:58:20,B,4647,144,3285073,5054,28.7,1021.8,56-614-135
2026-09-05 11:58:21,T,3932,487,3285726,2368,28.7,1021.8,56-614-135
2026-09-05 11:58:21,B,4648,56,3285746,5055,28.7,1021.8,56-614-135
2026-09-05 11:58:22,B,4649,540,3286367,5058,28.7,1021.8,56-614-135
2026-09-05 11:58:22,B,4650,86,3286627,5058,28.7,1021.8,56-614-135
2026-09-05 11:58:22,B,4651,279,3286824,5058,28.7,1021.8,56-614-135
2026-09-05 11:58:24,B,4652,59,3288630,5059,28.7,1021.8,56-614-135
2026-09-05 11:58:24,T,3933,434,3289393,2369,28.7,1021.8,56-614-135
2026-09-05 11:58:26,T,3934,427,3290996,2370,28.7,1021.8,56-614-135
2026-09-05 11:58:26,B,4653,426,3291072,5060,28.7,1021.8,56-614-135
2026-09-05 11:58:28,T,3935,153,3292787,2372,28.7,1021.8,56-614-135
2026-09-05 11:58:28,T,3936,360,3293207,2372,28.7,1021.8,56-614-135
2026-09-05 11:58:28,T,3937,542,3293384,2372,28.7,1021.8,56-614-135
2026-09-05 11:58:28,B,4654,726,3293384,5062,28.7,1021.8,56-614-135
2026-09-05 11:58:28,C,700,634,3293384,3717,28.7,1021.8,56-614-135
